studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Sample,Event,Cast,Bottle,"Assoc. Bottle 1","Assoc. Bottle 2","Assoc. Bottle 3","Nominal Depth (m)","Actual Depth (m)","Phosphate (µmol/L)","Silicic Acid (µmol/L)","Nitrite (µmol/L)","Nitrate (µmol/L)","Ammonium (µmol/L)","Bottle Note","Nutrient Sample Note","Nutrient Analysis Note"
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,23,22,24,0,,2.374,1.10,15.44,0.29,13.44,0.58,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,20,19,21,0,,4.775,1.11,15.64,0.36,13.47,0.76,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,17,16,18,0,,8.366,1.11,15.79,0.32,13.61,0.67,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,14,13,15,0,,12.537,1.10,15.76,0.29,13.60,0.95,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,11,10,12,0,,18.905,1.13,16.40,0.34,13.63,0.99,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,8,7,9,0,,26.139,1.12,16.89,0.33,13.74,0.73,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,5,4,6,0,,36.183,1.23,17.82,0.31,14.96,0.43,,,
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,1,CTD,53,5,2,1,3,0,,51.422,1.63,24.96,0.09,22.19,0.60,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,16,15,0,0,,2.376,0.89,12.63,0.27,10.36,0.39,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,14,13,0,0,,8.661,0.96,13.21,0.26,11.35,0.32,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,12,11,0,0,,15.888,1.09,15.06,0.30,12.99,0.75,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,10,9,0,0,,24.121,1.15,15.97,0.30,13.72,0.56,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,8,7,0,0,,31.399,1.34,18.38,0.28,16.21,0.68,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,6,5,0,0,,38.953,1.63,23.12,0.04,21.67,0.44,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,4,3,0,0,,48.551,1.85,26.53,0.00,23.65,0.67,,,
P0605KN,"2006-05-11 19:08:35",34.31365,-120.812,1,CTD,66,7,2,1,0,0,,61.334,1.88,27.50,0.03,23.92,0.49,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,23,22,24,0,,3.553,0.92,13.87,0.31,11.00,0.45,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,20,19,21,0,,6.688,0.91,13.80,0.27,10.92,0.36,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,17,16,18,0,,9.681,0.94,13.96,0.29,11.36,0.25,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,14,13,15,0,,13.42,0.95,14.02,0.31,11.62,0.15,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,11,10,12,0,,20.662,0.96,13.80,0.30,11.45,0.29,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,8,7,9,0,,26.515,1.02,14.62,0.33,12.37,0.40,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,5,4,6,0,,36.151,1.05,14.58,0.28,12.43,0.35,,,
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,1,CTD,82,8,2,1,3,0,,51.412,1.45,19.86,0.24,18.13,0.34,,,
