studyName,Cruise,"Cycle (Event Log)","Datetime PST (Event Log)","Latitude (Event Log) (º)","Longitude (Event Log) (º)","Event Number","Cast Number","Bottle Number","Depth (m)","Heterotrophic Bacteria (number/ml)","Prochlorococcus (number/ml)","Synechococcus (number/ml)","Picoeukaryotes (number/ml)",Notes
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,23,2,1062994,0,6077,7481,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,20,5,1051982,0,5408,6786,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,17,8,1083744,0,5631,7849,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,14,12,1064319,0,5880,7232,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,11,19,1062495,0,6287,8348,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,8,25,989586,0,6143,9096,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,5,35,1012134,0,5933,9516,
P0605KN,P0605KN,"CYCLE 1","2006-05-11 01:40:48",34.3333,-120.8,53,5,2,50,645264,0,630,578,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,23,2,1483755,0,10421,19307,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,20,5,1448829,0,10277,20724,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,17,8,1519875,0,10277,17430,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,14,12,1387103,0,10133,19228,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,11,19,1496434,0,11025,19281,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,8,25,1392746,0,9293,16446,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,5,35,933883,0,2783,2743,
P0605KN,P0605KN,"CYCLE 1","2006-05-12 01:01:59",34.28856,-120.8365,82,8,2,50,682986,0,630,971,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,23,2,1979946,0,14424,25305,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,20,5,1928942,0,14136,22943,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,17,8,2000184,0,15159,24124,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,14,12,1882112,0,12968,20436,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,11,19,1721672,0,10671,13046,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,8,25,1417881,0,7809,8164,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,5,35,1064753,0,3518,3491,
P0605KN,P0605KN,"CYCLE 1","2006-05-13 01:36:31",34.27569,-120.9464,127,12,2,50,803854,0,1339,1089,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,23,2,2431472,0,13899,20567,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,20,5,2439570,0,13689,19976,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,17,8,2546814,0,14451,23034,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,14,12,2494314,0,13466,21656,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,11,19,2541748,0,15081,20580,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,8,25,2457578,0,13466,20567,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,5,35,1518720,0,7048,9883,
P0605KN,P0605KN,"CYCLE 1","2006-05-14 01:00:37",34.27037,-121.0357,178,16,2,50,897606,0,1916,2271,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,24,2,2297124,2730,29794,29374,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,22,5,2610956,2734,26622,27366,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,20,8,2305551,2271,26079,25607,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,18,12,2513088,2538,17609,20322,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,16,19,2367247,1794,14438,16166,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,14,25,1793426,1470,7599,9870,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,10,35,1205334,1995,3623,3281,
P0605KN,P0605KN,"CYCLE 1","2006-05-15 01:08:45",34.25954,-121.0568,219,19,8,50,763993,1089,735,814,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,23,5,724264,84420,15212,5814,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,20,12,714184,101850,9962,4712,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,17,20,725826,109069,9424,5184,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,14,40,791346,154258,27287,5381,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,11,60,886751,85838,29361,10185,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,8,70,748125,85470,4791,11209,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,5,80,537351,64391,1024,4607,
P0605KN,P0605KN,"CYCLE 2","2006-05-16 01:00:42",33.68134,-122.1983,236,20,2,100,318701,34151,197,1247,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,23,5,922911,55046,16026,6707,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,20,12,913710,70245,3977,6339,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,17,20,925470,63315,11891,6405,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,14,40,789167,83383,16853,5250,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,11,60,806925,133836,24176,8689,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,8,70,667971,77608,3308,8715,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,5,80,450030,54731,197,2756,
P0605KN,P0605KN,"CYCLE 2","2006-05-17 01:01:16",33.49601,-122.1127,275,23,2,100,248181,18388,92,788,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,23,5,681188,150767,14713,5709,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,20,12,702398,126866,16065,6248,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,17,20,679888,157841,16866,6536,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,14,40,890033,175573,60611,8623,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,11,60,878509,199224,48576,13204,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,8,70,880727,176492,36251,16406,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,5,80,792750,24819,18585,13755,
P0605KN,P0605KN,"CYCLE 2","2006-05-19 00:01:15",33.61792,-122.1298,336,27,2,100,385101,39362,643,1877,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,23,5,739436,99002,15422,5040,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,20,12,779310,110657,6891,5959,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,17,20,797764,90510,6943,5618,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,14,40,843465,142446,24321,6051,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,11,60,971079,80601,37748,12009,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,8,70,963624,19871,14739,11865,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,5,80,584732,41344,1562,4108,
P0605KN,P0605KN,"CYCLE 2","2006-05-20 00:04:07",33.49394,-122.0862,370,31,2,100,328230,35109,315,1378,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,22,5,698618,58052,9463,3465,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,20,12,726981,62239,10303,3570,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,18,20,756499,48773,12338,4673,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,14,40,854753,83934,20003,4856,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,12,60,856879,76506,43601,8794,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,10,70,943058,52106,37118,13965,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,6,80,670005,40504,4253,5946,
P0605KN,P0605KN,"CYCLE 2","2006-05-21 01:03:29",33.3634,-122.0386,404,34,4,100,326918,36894,669,1037,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,23,2,1799595,0,7153,10185,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,19,5,1765811,0,6904,9555,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,15,8,2448128,0,8899,10710,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,11,12,2552511,0,6366,5749,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,7,19,2346291,0,5683,5893,
P0605KN,P0605KN,"CYCLE 3","2006-05-22 01:09:19",34.61168,-120.7666,420,35,3,25,1881219,0,5618,3373,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,23,2,2695757,0,7088,11773,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,19,5,2557800,0,7626,11760,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,15,8,2309580,0,6956,12836,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,11,12,1035838,0,2993,2166,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,7,19,999823,0,3189,1982,
P0605KN,P0605KN,"CYCLE 3","2006-05-23 01:07:42",34.7454,-120.7665,458,40,3,25,962364,0,3242,1588,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,23,2,2225449,0,7914,6182,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,19,5,2091167,0,6366,6996,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,15,8,1915594,0,6549,8124,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,11,12,1786969,0,6878,7127,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,7,19,1294204,0,5421,11668,
P0605KN,P0605KN,"CYCLE 3","2006-05-24 00:59:50",34.86453,-120.797,497,44,3,25,930864,0,3793,5250,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,23,2,1672256,0,5184,4554,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,19,5,1643644,0,5053,4869,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,15,8,1737002,0,5539,4397,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,11,12,1651781,0,5211,4436,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,7,19,1614743,0,4830,4213,
P0605KN,P0605KN,"CYCLE 3","2006-05-25 01:58:23",34.83556,-120.8313,530,47,3,25,1450142,0,3426,6339,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,23,2,1034696,0,29085,27720,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,19,8,1025312,0,29439,26985,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,17,12,1019301,0,29387,26788,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,14,19,1050893,0,28534,26408,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,11,25,1049042,0,29663,26289,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,8,30,1042781,0,29295,26421,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,5,40,1109614,0,23284,11393,
P0605KN,P0605KN,"CYCLE 4","2006-05-26 02:26:00",34.0453,-121.3043,543,50,2,50,852758,0,5762,4174,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,23,2,969878,0,27858,25535,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,20,8,976664,0,29315,24944,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,17,12,964747,0,28160,24452,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,14,19,981632,0,28376,24511,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,11,25,987210,0,28567,24445,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,8,30,983496,0,28770,24623,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,5,40,1010684,0,25581,17483,
P0605KN,P0605KN,"CYCLE 4","2006-05-27 01:02:03",34.0178,-121.4277,555,52,2,50,861072,0,14083,6851,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,23,2,905061,0,26631,23349,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,20,8,928016,0,29190,22903,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,17,12,910193,0,26933,22116,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,14,19,912371,0,28219,22614,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,11,25,925378,0,27471,22601,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,8,30,924210,0,28245,22824,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,5,40,911754,0,27878,23573,
P0605KN,P0605KN,"CYCLE 4","2006-05-28 01:28:59",33.95965,-121.5714,580,55,2,50,869387,0,22404,9529,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,23,2,842809,0,23494,19451,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,20,8,836259,0,26526,19399,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,17,12,824867,0,24045,19504,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,14,19,839895,0,25121,19766,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,11,25,829224,0,24163,22444,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,8,30,816611,0,23376,18782,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,5,40,808710,0,23953,18546,
P0605KN,P0605KN,"CYCLE 4","2006-05-29 01:08:31",33.88656,-121.6455,613,58,2,50,590258,0,10946,9542,
P0605KN,P0605KN,"CYCLE 4","2006-05-30 01:17:52",33.86508,-121.7218,630,60,23,2,1014353,0,12482,14792,
P0605KN,P0605KN,"CYCLE 4","2006-05-30 01:17:52",33.86508,-121.7218,630,60,20,8,1026362,0,12771,15212,
P0605KN,P0605KN,"CYCLE 4","2006-05-30 01:17:52",33.86508,-121.7218,630,60,17,12,1026204,0,12364,15684,
