studyName,Cruise,"Datetime PST (Event Log)","Latitude (Event Log) (º)","Longitude (Event Log) (º)",Cycle,"Event Number","Cast Number","Bottle Number","Depth (m)","Heterotrophic Bacteria (µg/L)","Prochlorococcus (µg/L)","Synechococcus (µg/L)",Notes
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,23,2,11.69,0.00,0.61,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,20,5,11.57,0.00,0.54,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,17,8,11.92,0.00,0.56,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,14,12,11.71,0.00,0.59,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,11,19,11.69,0.00,0.63,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,8,25,10.89,0.00,0.61,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,5,35,11.13,0.00,0.59,
P0605KN,P0605KN,"2006-05-11 01:40:48",34.3333,-120.8,"CYCLE 1",53,5,2,50,7.10,0.00,0.06,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,23,2,16.32,0.00,1.04,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,20,5,15.94,0.00,1.03,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,17,8,16.72,0.00,1.03,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,14,12,15.26,0.00,1.01,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,11,19,16.46,0.00,1.10,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,8,25,15.32,0.00,0.93,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,5,35,10.27,0.00,0.28,
P0605KN,P0605KN,"2006-05-12 01:01:59",34.28856,-120.8365,"CYCLE 1",82,8,2,50,7.51,0.00,0.06,
P0605KN,P0605KN,"2006-05-13 01:36:31",34.27569,-120.9464,"CYCLE 1",127,12,23,2,21.78,0.00,1.44,
P0605KN,P0605KN,"2006-05-13 01:36:31",34.27569,-120.9464,"CYCLE 1",127,12,20,5,21.22,0.00,1.41,
