Cruise,Transect,Station,Latitude,Longitude,Time_PST,Night0Day1,Class,Abundance (#/m^2),ESD_n,ESD_mean,ESD_mean-1outlier,ESD_mean-2outliers,Feret_n,Feret_mean,Feret_mean-1outlier,Feret_mean-2outliers,ugcarbon_n,ugcarbon_mean,ugcarbon_mean-1outlier,ugcarbon_mean-2outliers,Carbon_mg_sum,Carbon_mg_sum-1outlier,Carbon_mg_sum-2outliers
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,All Classes,356106.607774,1956,0.540578,0.819429,0.819003,1956,1.086348,1.805226,1.803876,1956,12.273177,36.988915,36.602911,4370.559507,13170.951508,13032.469217
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,All Copepods,309470.812721,1619,0.513373,0.775697,0.77365,1619,1.001921,1.663306,1.65284,1619,9.285799,51.2833,48.060939,2873.683874,15858.602947,14850.813289
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,All Calanoid Copepods,228232.367491,1268,0.546135,0.759608,0.759274,1268,1.05759,1.531736,1.530019,1268,12.006333,23.271119,22.744022,2740.233707,5310.564843,5189.63613
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,All Non-Calanoid Copepods,81238.44523,351,0.421333,0.419378,0.418365,351,0.845526,0.840681,0.836593,351,1.642697,1.611672,1.586372,133.450166,130.550064,128.126937
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,appendicularia,11948.763251,56,0.666443,0.672694,0.661715,56,1.951046,1.94095,1.885921,56,6.290631,6.199705,5.275898,75.165265,72.618259,60.554637
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,bryozoan_larvae,8009.823322,34,0.487177,0.488733,0.487213,34,0.611336,0.606439,0.604382,34,1.085862,1.074618,1.084308,8.697564,8.35434,8.17423
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,chaetognatha,2129.611307,46,1.543648,1.817216,1.834478,46,5.87342,7.478189,7.563862,46,37.48112,61.272577,43.078777,79.820218,128.754685,80.374647
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,cnidaria_ctenophores,2252.120141,43,1.443232,1.836773,1.797795,43,3.603569,4.419795,4.306232,43,53.362724,64.124782,62.855189,120.179266,129.310003,124.972995
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_calanoida,226573.922261,1224,0.535608,0.761177,0.760897,1224,1.010743,1.499762,1.498985,1224,5.128542,16.967854,16.920026,1161.993874,3843.993686,3832.680048
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_eucalanids,1658.44523,44,1.984362,2.080071,2.055705,44,7.457677,7.78778,7.653622,44,951.6382,968.547754,910.149105,1578.239834,1578.903961,1457.975249
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_harpacticoida,1413.498233,6,0.532308,0.517595,0.504364,6,1.728759,1.871196,2.066365,6,1.576751,1.820997,2.17022,2.228735,2.14498,2.045068
P0810,1,1,32.66734,-120.7106,24-Oct-2008 21:09:00,0,copepoda_oithona_like,46259.081272,199,0.335752,0.335231,0.334381,199,0.703708,0.702635,0.700593,199,0.829949,0.824352,0.815888,38.392698,37.939582,37.357827
